Longitud;Latitud
 2,13084489; 4,13802986e+01
 2,13144530; 4,13789280e+01
 2,14152161; 4,13823345e+01
 2,14072328; 4,13772759e+01
 2,13934666; 4,13808457e+01
 2,13754637; 4,13838095e+01
 2,14137509; 4,13770531e+01
 2,14089375; 4,13770627e+01
 2,13599234; 4,13817647e+01
 2,14202459; 4,13919171e+01
 2,13612388; 4,13859495e+01
 2,13986837; 4,13927206e+01
 2,13986837; 4,13927206e+01
 2,13958833; 4,13926496e+01
 2,14219416; 4,13884812e+01
 2,14022451; 4,13853007e+01
 2,14189252; 4,13887261e+01
 2,13735366; 4,13904718e+01
 2,14012425; 4,13853124e+01
 2,13764923; 4,13868319e+01
 2,13787870; 4,13842463e+01
 2,13818906; 4,13921709e+01
 2,13818906; 4,13921709e+01
 2,13572597; 4,13917104e+01
 2,13572597; 4,13917104e+01
 2,13554922; 4,13897574e+01
 2,13718324; 4,13893662e+01
 2,13759384; 4,13849139e+01
 2,13657639; 4,13887662e+01
 2,14451937; 4,13920270e+01
 2,14497365; 4,13939723e+01
 2,13800857; 4,13898347e+01
 2,14476114; 4,13933842e+01
 2,14132127; 4,13929891e+01
 2,12925069; 4,13814304e+01
 2,13156291; 4,13869503e+01
 2,13403768; 4,13921668e+01
 2,13380961; 4,13921096e+01
 2,12960124; 4,13846760e+01
 2,13028864; 4,13851294e+01
 2,12861241; 4,13805437e+01
 2,12917836; 4,13910196e+01
 2,12917836; 4,13910196e+01
 2,13262969; 4,13855625e+01
 2,12877030; 4,13806225e+01
 2,13347905; 4,13909978e+01
 2,13114404; 4,13913356e+01
 2,13114404; 4,13913356e+01
 2,13114404; 4,13913356e+01
 2,13191695; 4,13941693e+01
 2,12430504; 4,13807491e+01
 2,13040302; 4,13902240e+01
 2,13010456; 4,13826263e+01
 2,12897490; 4,13901323e+01
 2,12897490; 4,13901323e+01
 2,12907551; 4,13829973e+01
 2,13302111; 4,13869252e+01
 2,12936215; 4,13847301e+01
 2,13790249; 4,13932103e+01
 2,13815633; 4,13931097e+01
 2,13688457; 4,13928753e+01
 2,12433054; 4,13792230e+01
 2,11935733; 4,13806713e+01
 2,12804704; 4,13868596e+01
 2,12437402; 4,13926519e+01
 2,12420093; 4,13897024e+01
 2,12420093; 4,13897024e+01
 2,12420093; 4,13897024e+01
 2,12373427; 4,13890927e+01
 2,11384189; 4,13855740e+01
 2,12717105; 4,13893911e+01
 2,12267545; 4,13883577e+01
 2,12267545; 4,13883577e+01
 2,12197324; 4,13881800e+01
 2,11812695; 4,13871961e+01
 2,11633206; 4,13867177e+01
 2,11445297; 4,13862412e+01
 2,11445297; 4,13862412e+01
 2,11445297; 4,13862412e+01
 2,11445297; 4,13862412e+01
 2,11445297; 4,13862412e+01
 2,11739920; 4,13777556e+01
 2,12263149; 4,13834603e+01
 2,12284728; 4,13857624e+01
 2,12450237; 4,13887913e+01
 2,11311236; 4,13800959e+01
 2,10762763; 4,13845409e+01
 2,10585362; 4,13840862e+01
 2,10585362; 4,13840862e+01
 2,10858171; 4,13823672e+01
 2,10808907; 4,13842768e+01
 2,10914178; 4,13914968e+01
 2,11951770; 4,13883670e+01
 2,11276223; 4,13868595e+01
 2,11886966; 4,13930182e+01
 2,11256855; 4,13945137e+01
 2,11251901; 4,13947962e+01
 2,10788822; 4,13888119e+01
 2,11741174; 4,13888303e+01
 2,10420412; 4,13858805e+01
 2,10971352; 4,13858602e+01
 2,10415990; 4,13854338e+01
 2,11137526; 4,13965764e+01
 2,10308416; 4,13837833e+01
 2,14226287; 4,14000961e+01
 2,14623852; 4,13949839e+01
 2,14380293; 4,13945388e+01
 2,13728930; 4,13966688e+01
 2,14395569; 4,14008379e+01
 2,13511268; 4,13979121e+01
 2,14261977; 4,14007931e+01
 2,13697040; 4,13997965e+01
 2,11011062; 4,13938047e+01
 2,13695734; 4,14018505e+01
 2,13858533; 4,14002260e+01
 2,14548329; 4,13971082e+01
 2,14697576; 4,13954670e+01
 2,13940362; 4,13962611e+01
 2,13821419; 4,13943438e+01
 2,13997893; 4,13995149e+01
 2,13742090; 4,13994993e+01
 2,13523960; 4,14001054e+01
 2,13770747; 4,13935401e+01
 2,13770747; 4,13935401e+01
 2,13843299; 4,13993970e+01
